Date,Start Time,End Time,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
March 7th,2022-03-07 9:00:00,2022-03-07 9:59:59,3.0,0.0,2.0,70.0,0.0,0.0
March 7th,2022-03-07 10:00:00,2022-03-07 10:59:59,0.0,30.0,0.0,0.0,0.0,0.0
March 7th,2022-03-07 11:00:00,2022-03-07 11:59:59,6.0,9.0,0.0,110.0,0.0,0.0
March 7th,2022-03-07 12:00:00,2022-03-07 12:59:59,0.0,10.0,0.0,630.0,0.0,2200.0
March 7th,2022-03-07 13:00:00,2022-03-07 13:59:59,9.0,20.0,0.0,70.0,0.0,1700.0
March 7th,2022-03-07 14:00:00,2022-03-07 14:59:59,1.0,0.0,0.0,0.0,0.0,1700.0
March 7th,2022-03-07 15:00:00,2022-03-07 15:59:59,22.0,0.0,0.0,9.0,0.0,1700.0
March 7th,2022-03-07 16:00:00,2022-03-07 16:59:59,0.0,0.0,0.0,20.0,0.0,2200.0
March 7th,2022-03-07 17:00:00,2022-03-07 17:59:59,1.0,1512.0,0.0,10.0,0.0,
March 7th,2022-03-07 18:00:00,2022-03-07 18:59:59,0.0,0.0,0.0,0.0,0.0,1700.0
March 7th,2022-03-07 19:00:00,2022-03-07 19:59:59,0.0,8.0,0.0,130.0,0.0,0.0
March 7th,2022-03-07 20:00:00,2022-03-07 20:59:59,2.0,104.0,0.0,50.0,72.0,1700.0
March 7th,2022-03-07 21:00:00,2022-03-07 21:59:59,0.0,610.0,0.0,10.0,54.0,1020.0
March 7th,2022-03-07 22:00:00,2022-03-07 22:59:59,2.0,610.0,0.0,1670.0,72.0,1320.0
March 7th,2022-03-07 23:00:00,2022-03-07 23:59:59,0.0,20.0,0.0,1670.0,36.0,2200.0
March 8th,2022-03-08 0:00:00,2022-03-08 0:59:59,0.0,20.0,0.0,29940.0,0.0,2200.0
March 8th,2022-03-08 1:00:00,2022-03-08 1:59:59,2.0,0.0,0.0,100.0,0.0,2200.0
March 8th,2022-03-08 2:00:00,2022-03-08 2:59:59,0.0,0.0,0.0,1670.0,36.0,204.0
March 8th,2022-03-08 3:00:00,2022-03-08 3:59:59,2.0,549.0,0.0,0.0,36.0,
March 8th,2022-03-08 4:00:00,2022-03-08 4:59:59,0.0,610.0,0.0,1670.0,18.0,7.0
March 8th,2022-03-08 5:00:00,2022-03-08 5:59:59,4.0,10.0,0.0,10.0,0.0,0.0
March 8th,2022-03-08 6:00:00,2022-03-08 6:59:59,4.0,0.0,0.0,10.0,18.0,5.0
March 8th,2022-03-08 7:00:00,2022-03-08 7:59:59,14.0,5.0,0.0,10.0,0.0,18.0
March 8th,2022-03-08 8:00:00,2022-03-08 8:59:59,0.0,549.0,0.0,52.0,0.0,1190.0
March 8th,2022-03-08 9:00:00,2022-03-08 9:59:59,0.0,9.0,0.0,6.0,0.0,450.0
March 8th,2022-03-08 10:00:00,2022-03-08 10:59:59,0.0,16.0,0.0,55710.0,18.0,0.0
March 8th,2022-03-08 11:00:00,2022-03-08 11:59:59,20.0,0.0,0.0,136.0,0.0,2200.0
March 8th,2022-03-08 12:00:00,2022-03-08 12:59:59,0.0,610.0,9.0,430.0,0.0,0.0
March 8th,2022-03-08 13:00:00,2022-03-08 13:59:59,0.0,610.0,0.0,0.0,0.0,0.0
March 8th,2022-03-08 14:00:00,2022-03-08 14:59:59,1.0,610.0,0.0,10.0,90.0,
